nameWithOwner,id,title,state,createdAt,closedAt,changedFiles,additions,deletions,reviews,body,participants,comments,hours_spent
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDE1NTU5NDg2,"Update ""Scaling up to your first 10 million users"" link",MERGED,2020-05-09T11:13:02Z,2020-05-26T01:59:02Z,1,4,4,1,148,2,1,398.76666666666665
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDE5MTU3NzIx,Update design Twitter back-of-the-envelope calculations,MERGED,2020-05-17T19:02:16Z,2020-07-04T14:55:43Z,1,1,0,1,85,2,1,1147.8908333333334
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDIyMzYyMTgz,Fix typo: Change replication to federation,MERGED,2020-05-24T04:41:10Z,2020-07-04T14:53:57Z,1,1,1,1,164,2,1,994.2130555555556
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDM0NzE2MTQw,Fix: metadata-file,CLOSED,2020-06-15T18:58:54Z,2020-07-10T01:18:58Z,1,1,1,10,226,3,4,582.3344444444444
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDM3NDI2MDM1,"Write word ""Korean"" in Korean language.",CLOSED,2020-06-20T15:33:37Z,2020-07-05T14:58:57Z,4,4,4,1,63,3,2,359.4222222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDQyMjYwMzc1,Add system design template link,MERGED,2020-06-30T19:55:56Z,2020-07-05T14:53:29Z,1,1,0,2,0,2,3,114.95916666666668
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDQ0MzAzNzQy,Fix typos in Twitter and web crawler exercises,MERGED,2020-07-04T16:29:59Z,2020-07-05T14:48:23Z,2,3,3,1,74,2,1,22.30666666666667
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDQ0MzUwOTQy,Fix #313: Clarify availability patterns,MERGED,2020-07-05T02:59:05Z,2020-07-05T14:50:31Z,1,1,1,1,28,3,1,11.857222222222223
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDQ1MTMxMzAy,Resolve #281: Add design stock exchange links,MERGED,2020-07-07T03:53:13Z,2020-07-12T16:00:04Z,1,1,0,1,70,2,1,132.11416666666668
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDUwMzI1NjYz,Fix #335: Update OSI image to Open Systems Interconnection ,MERGED,2020-07-16T16:22:54Z,2020-08-02T18:10:23Z,1,0,0,2,507,2,3,409.7913888888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDU2NzQ3NzY5,Fix translations link in PR template,MERGED,2020-07-26T13:07:35Z,2020-08-02T18:13:18Z,1,1,1,1,36,3,2,173.09527777777777
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NTAwNzY4ODg1,Update broken HBase architecture link,MERGED,2020-10-09T19:01:55Z,2020-10-30T01:14:46Z,1,2,2,1,325,2,1,486.21416666666664
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NTE4NDMxODc2,Fix Celery url,MERGED,2020-11-10T11:46:39Z,2020-12-29T02:51:33Z,1,1,1,1,28,2,1,1167.0816666666667
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NTYwNTcwNDgx,Update indieflashblog link,MERGED,2021-01-24T09:27:38Z,2021-02-16T02:10:04Z,4,4,4,1,753,2,0,544.7072222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NTY2MTQ1ODQ4,Fix LRU cache link,MERGED,2021-02-02T17:44:53Z,2021-02-16T02:14:06Z,1,1,1,1,114,2,1,320.4869444444444
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NTc4MTAwMzE2,Fix capitalization of Dropbox,MERGED,2021-02-23T03:06:20Z,2021-05-09T18:20:50Z,1,1,1,2,143,3,1,1815.2416666666666
donnemartin/system-design-primer,PR_kwDOBPXfqc4s-_1M,Update GitHub Engineer Blog link,MERGED,2021-10-10T14:07:05Z,2021-11-17T12:26:09Z,4,4,4,1,671,2,1,910.3177777777778
donnemartin/system-design-primer,PR_kwDOBPXfqc4wOteF,Fix memcache architecture URL,MERGED,2021-12-23T13:24:04Z,2022-02-13T02:52:00Z,4,4,4,1,129,2,1,1237.4655555555555
donnemartin/system-design-primer,PR_kwDOBPXfqc4waLwB,Added white background to all images (#630),CLOSED,2021-12-30T22:40:30Z,2023-02-20T23:12:22Z,54,0,0,4,214,6,4,10008.531111111111
donnemartin/system-design-primer,PR_kwDOBPXfqc406Op1,Replace broken weighted round robin link (#650),MERGED,2022-03-23T20:48:50Z,2022-04-20T00:37:02Z,1,1,1,1,571,3,1,651.8033333333333
donnemartin/system-design-primer,PR_kwDOBPXfqc42VFOu,Fix typos,MERGED,2022-04-17T16:01:57Z,2022-04-23T13:14:45Z,3,3,3,1,0,3,3,141.21333333333334
donnemartin/system-design-primer,PR_kwDOBPXfqc48X5IA,Fix Typo,MERGED,2022-07-30T21:03:42Z,2022-07-31T16:44:43Z,1,1,1,1,10,2,1,19.683611111111112
donnemartin/system-design-primer,PR_kwDOBPXfqc5CSCWI,Update latency vs throughput blog link,MERGED,2022-11-06T18:02:12Z,2022-11-13T21:04:18Z,1,1,1,1,571,2,1,171.035
donnemartin/system-design-primer,PR_kwDOBPXfqc5DTPOA,Fix top k requests link,MERGED,2022-11-20T11:29:30Z,2022-12-11T20:06:51Z,1,1,1,2,571,3,1,512.6225
donnemartin/system-design-primer,PR_kwDOBPXfqc5LnCRN,Fix Scalability Article links,MERGED,2023-03-08T22:02:32Z,2023-03-16T09:58:20Z,1,5,5,1,636,2,1,179.93
