nameWithOwner,url,createdAt,stargazers,pullRequests
facebook/react,https://github.com/facebook/react,2013-05-24T16:15:54Z,205792,13160
opencv/opencv,https://github.com/opencv/opencv,2012-07-19T09:40:17Z,68038,13649
ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24T15:37:24Z,85410,13728
mrdoob/three.js,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,90758,13860
twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,162895,14420
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,2010-08-17T09:43:38Z,53797,14742
vercel/next.js,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,104319,15059
microsoft/TypeScript,https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,90372,15797
django/django,https://github.com/django/django,2012-04-28T02:47:18Z,69846,16569
mui/material-ui,https://github.com/mui/material-ui,2014-08-18T19:11:54Z,85804,18585
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19T15:16:43Z,69055,18630
electron/electron,https://github.com/electron/electron,2013-04-12T01:47:36Z,106838,18983
microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,144976,20104
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21T22:43:05Z,54360,21411
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,173339,22618
moby/moby,https://github.com/moby/moby,2013-01-18T18:10:57Z,65693,22866
angular/angular,https://github.com/angular/angular,2014-09-18T16:12:01Z,87473,23501
nodejs/node,https://github.com/nodejs/node,2014-11-26T19:57:11Z,94625,29674
rails/rails,https://github.com/rails/rails,2008-04-11T02:19:47Z,52640,30976
godotengine/godot,https://github.com/godotengine/godot,2014-01-04T16:05:36Z,60373,32065
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,364440,32590
grafana/grafana,https://github.com/grafana/grafana,2013-12-11T15:59:56Z,54870,34531
python/cpython,https://github.com/python/cpython,2017-02-10T19:23:51Z,51901,38549
flutter/flutter,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,152189,42964
apple/swift,https://github.com/apple/swift,2015-10-23T21:15:07Z,62328,47317
ansible/ansible,https://github.com/ansible/ansible,2012-03-06T14:58:02Z,57021,48617
home-assistant/core,https://github.com/home-assistant/core,2013-09-17T07:29:48Z,59583,52634
rust-lang/rust,https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,80239,61393
elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,63367,62584
pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13T05:26:41Z,65306,65255
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,97462,73423
